Date,Expiration,Price
2020-04-13,2023-12,2.63100004196167
2020-04-14,2023-12,2.61299991607666
2020-04-15,2023-12,2.5869998931884766
2020-04-16,2023-12,2.5920000076293945
2020-04-17,2023-12,2.6080000400543213
2020-04-20,2023-12,2.625999927520752
2020-04-21,2023-12,2.619999885559082
2020-04-22,2023-12,2.638000011444092
2020-04-23,2023-12,2.6070001125335693
2020-04-24,2023-12,2.6050000190734863
2020-04-27,2023-12,2.63100004196167
2020-04-28,2023-12,2.622999906539917
2020-04-29,2023-12,2.621999979019165
2020-04-30,2023-12,2.5969998836517334
2020-05-01,2023-12,2.5799999237060547
2020-05-04,2023-12,2.5820000171661377
2020-05-05,2023-12,2.569000005722046
2020-05-06,2023-12,2.5929999351501465
2020-05-07,2023-12,2.5850000381469727
2020-05-08,2023-12,2.5989999771118164
2020-05-11,2023-12,2.5840001106262207
2020-05-13,2023-12,2.572999954223633
2020-05-18,2023-12,2.6070001125335693
2020-05-19,2023-12,2.6040000915527344
2020-05-20,2023-12,2.5850000381469727
2020-05-21,2023-12,2.5759999752044678
2020-05-22,2023-12,2.6010000705718994
2020-05-27,2023-12,2.6080000400543213
2020-05-28,2023-12,2.5999999046325684
2020-05-29,2023-12,2.5940001010894775
2020-06-01,2023-12,2.578000068664551
2020-06-02,2023-12,2.5829999446868896
2020-06-03,2023-12,2.569999933242798
2020-06-04,2023-12,2.5789999961853027
2020-06-08,2023-12,2.5820000171661377
2020-06-09,2023-12,2.5899999141693115
2020-06-10,2023-12,2.5820000171661377
2020-06-11,2023-12,2.5769999027252197
2020-06-17,2023-12,2.5490000247955322
2020-06-18,2023-12,2.556999921798706
2020-06-19,2023-12,2.5439999103546143
2020-06-22,2023-12,2.5320000648498535
2020-06-23,2023-12,2.5309998989105225
2020-06-24,2023-12,2.5220000743865967
2020-06-25,2023-12,2.5280001163482666
2020-06-26,2023-12,2.5480000972747803
2020-06-29,2023-12,2.5460000038146973
2020-06-30,2023-12,2.552000045776367
2020-07-01,2023-12,2.563999891281128
2020-07-02,2023-12,2.5810000896453857
2020-07-06,2023-12,2.572000026702881
2020-07-07,2023-12,2.563999891281128
2020-07-08,2023-12,2.5850000381469727
2020-07-09,2023-12,2.5880000591278076
2020-07-10,2023-12,2.5840001106262207
2020-07-14,2023-12,2.5859999656677246
2020-07-20,2023-12,2.5840001106262207
2020-07-21,2023-12,2.5959999561309814
2020-07-22,2023-12,2.6050000190734863
2020-07-23,2023-12,2.635999917984009
2020-07-24,2023-12,2.6570000648498535
2020-07-27,2023-12,2.6579999923706055
2020-07-28,2023-12,2.671999931335449
2020-07-29,2023-12,2.680999994277954
2020-07-30,2023-12,2.6679999828338623
2020-07-31,2023-12,2.6659998893737793
2020-08-03,2023-12,2.6589999198913574
2020-08-04,2023-12,2.6530001163482666
2020-08-05,2023-12,2.6630001068115234
2020-08-06,2023-12,2.6689999103546143
2020-08-07,2023-12,2.6730000972747803
2020-08-10,2023-12,2.6710000038146973
2020-08-11,2023-12,2.6589999198913574
2020-08-12,2023-12,2.6470000743865967
2020-08-13,2023-12,2.6730000972747803
2020-08-14,2023-12,2.687000036239624
2020-08-17,2023-12,2.693000078201294
2020-08-18,2023-12,2.694000005722046
2020-08-19,2023-12,2.697999954223633
2020-08-20,2023-12,2.696000099182129
2020-08-21,2023-12,2.681999921798706
2020-08-24,2023-12,2.684000015258789
2020-08-25,2023-12,2.683000087738037
2020-08-26,2023-12,2.7109999656677246
2020-08-27,2023-12,2.7019999027252197
2020-08-28,2023-12,2.686000108718872
2020-08-31,2023-12,2.6760001182556152
2020-09-01,2023-12,2.674999952316284
2020-09-02,2023-12,2.681999921798706
2020-09-03,2023-12,2.687000036239624
2020-09-04,2023-12,2.693000078201294
2020-09-08,2023-12,2.694000005722046
2020-09-09,2023-12,2.690000057220459
2020-09-10,2023-12,2.683000087738037
2020-09-11,2023-12,2.6760001182556152
2020-09-14,2023-12,2.681999921798706
2020-09-15,2023-12,2.688999891281128
2020-09-16,2023-12,2.687000036239624
2020-09-17,2023-12,2.690000057220459
2020-09-18,2023-12,2.687000036239624
2020-09-21,2023-12,2.678999900817871
