time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),sunrise (iso8601),sunset (iso8601),precipitation_sum (inch),rain_sum (inch),snowfall_sum (inch),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (inch)
2022-05-27,52.7,36.7,45.6,2022-05-27T04:36,2022-05-27T21:16,0.000,0.000,0.000,17.05,0.107
2022-05-28,51.4,33.2,43.6,2022-05-28T04:35,2022-05-28T21:17,0.016,0.016,0.000,22.09,0.130
2022-05-29,59.0,31.4,47.2,2022-05-29T04:33,2022-05-29T21:18,0.000,0.000,0.000,28.65,0.172
2022-05-30,64.6,34.8,52.2,2022-05-30T04:32,2022-05-30T21:20,0.000,0.000,0.000,26.15,0.170
2022-05-31,61.1,41.0,50.7,2022-05-31T04:31,2022-05-31T21:21,0.181,0.181,0.000,16.24,0.104
2022-06-01,64.6,42.4,53.6,2022-06-01T04:30,2022-06-01T21:22,0.000,0.000,0.000,24.99,0.156
2022-06-02,55.1,43.9,49.2,2022-06-02T04:29,2022-06-02T21:24,0.280,0.280,0.000,7.13,0.050
2022-06-03,51.4,37.4,45.5,2022-06-03T04:28,2022-06-03T21:25,0.118,0.118,0.000,9.81,0.053
2022-06-04,63.9,33.7,50.8,2022-06-04T04:28,2022-06-04T21:26,0.000,0.000,0.000,28.21,0.173
2022-06-05,72.6,39.7,57.1,2022-06-05T04:27,2022-06-05T21:27,0.000,0.000,0.000,28.12,0.194
2022-06-06,75.9,42.2,60.8,2022-06-06T04:26,2022-06-06T21:28,0.000,0.000,0.000,27.37,0.208
2022-06-07,54.4,34.9,44.1,2022-06-07T04:25,2022-06-07T21:29,0.295,0.295,0.000,5.40,0.033
2022-06-08,56.4,32.7,45.6,2022-06-08T04:25,2022-06-08T21:30,0.000,0.000,0.000,19.41,0.112
2022-06-09,56.2,34.4,47.6,2022-06-09T04:24,2022-06-09T21:31,0.004,0.004,0.000,14.14,0.092
2022-06-10,68.3,42.4,55.3,2022-06-10T04:24,2022-06-10T21:32,0.000,0.000,0.000,24.22,0.166
2022-06-11,72.3,46.8,60.4,2022-06-11T04:23,2022-06-11T21:33,0.000,0.000,0.000,28.76,0.202
2022-06-12,77.8,49.7,65.0,2022-06-12T04:23,2022-06-12T21:34,0.000,0.000,0.000,28.41,0.207
2022-06-13,70.7,54.3,61.1,2022-06-13T04:23,2022-06-13T21:34,0.102,0.102,0.000,12.05,0.088
2022-06-14,77.8,53.0,67.0,2022-06-14T04:22,2022-06-14T21:35,0.000,0.000,0.000,25.73,0.197
2022-06-15,80.6,54.4,69.3,2022-06-15T04:22,2022-06-15T21:36,0.000,0.000,0.000,24.62,0.190
2022-06-16,81.2,54.0,66.4,2022-06-16T04:22,2022-06-16T21:36,0.004,0.004,0.000,19.09,0.147
2022-06-17,76.1,57.6,66.2,2022-06-17T04:22,2022-06-17T21:37,0.256,0.256,0.000,17.85,0.136
2022-06-18,66.4,54.0,60.4,2022-06-18T04:22,2022-06-18T21:37,0.921,0.921,0.000,12.09,0.084
2022-06-19,71.3,50.3,60.8,2022-06-19T04:22,2022-06-19T21:37,0.028,0.028,0.000,24.08,0.166
2022-06-20,74.1,49.6,62.3,2022-06-20T04:22,2022-06-20T21:38,0.035,0.035,0.000,25.26,0.182
2022-06-21,68.9,50.9,60.6,2022-06-21T04:23,2022-06-21T21:38,0.016,0.016,0.000,21.97,0.152
2022-06-22,67.2,47.9,57.7,2022-06-22T04:23,2022-06-22T21:38,0.000,0.000,0.000,18.37,0.133
2022-06-23,67.1,46.4,58.1,2022-06-23T04:23,2022-06-23T21:38,0.031,0.031,0.000,20.04,0.138
2022-06-24,75.9,47.6,62.7,2022-06-24T04:23,2022-06-24T21:38,0.000,0.000,0.000,27.66,0.193
2022-06-25,74.7,54.7,63.9,2022-06-25T04:24,2022-06-25T21:38,0.012,0.012,0.000,22.56,0.170
2022-06-26,73.7,52.0,64.4,2022-06-26T04:24,2022-06-26T21:38,0.016,0.016,0.000,21.31,0.163
2022-06-27,87.8,58.4,73.7,2022-06-27T04:25,2022-06-27T21:38,0.004,0.004,0.000,26.31,0.227
2022-06-28,93.4,59.0,76.2,2022-06-28T04:25,2022-06-28T21:38,0.000,0.000,0.000,26.65,0.238
2022-06-29,72.1,62.8,67.5,2022-06-29T04:26,2022-06-29T21:38,0.272,0.272,0.000,13.70,0.106
2022-06-30,74.2,58.4,65.7,2022-06-30T04:27,2022-06-30T21:38,0.520,0.520,0.000,14.31,0.105
2022-07-01,85.7,54.5,71.1,2022-07-01T04:27,2022-07-01T21:37,0.000,0.000,0.000,28.00,0.215
2022-07-02,81.3,61.5,70.3,2022-07-02T04:28,2022-07-02T21:37,0.567,0.567,0.000,21.43,0.170
2022-07-03,68.9,55.7,61.8,2022-07-03T04:29,2022-07-03T21:36,0.472,0.472,0.000,16.43,0.119
